立	拉	lì	Lập	đứng, dựng lên	Hình người đứng trên mặt đất.	Liên quan đến đứng, thành lập, dựng lên.	阿拉伯语
韦	韩	wéi	Vi	da thuộc, dây da	Hình dây/da thuộc trong chữ cổ.	Thành phần trong một số chữ chỉ tên riêng, quốc gia.	韩国语
日	日, 明, 昨, 星, 期	rì	Nhật	mặt trời, ngày	Hình mặt trời.	Liên quan đến ngày tháng, thời gian, ánh sáng.	日语, 明天, 昨天, 星期, 星期天
月	月, 明, 期, 有	yuè	Nguyệt	mặt trăng, tháng	Hình vầng trăng khuyết.	Liên quan đến tháng, thời gian; đôi khi là biến thể của thịt.	月, 明天, 星期, 有
西	西	xī	Tây	phía tây	Hình cái giỏ/chim về tổ lúc mặt trời lặn.	Chỉ phương tây hoặc âm/tên riêng.	西班牙语
王 / 玉	班, 国	wáng / yù	Vương / Ngọc	vua, ngọc	Ba nét ngang nối bằng một nét dọc; 玉 thêm chấm là ngọc.	Liên quan đến vua, ngọc, vật quý.	西班牙语, 国
牙	牙	yá	Nha	răng, ngà	Hình răng/chiếc ngà.	Liên quan đến răng, ngà; dùng trong phiên âm tên riêng.	西班牙语
土	去, 坐, 在, 里	tǔ	Thổ	đất	Một cây mọc từ mặt đất.	Liên quan đến đất, nơi chốn, vị trí.	去, 坐, 在, 这里
厶	去, 公	sī	Tư	riêng tư	Nét gập giống vật được ôm giữ riêng.	Chỉ sự riêng tư; là thành phần cấu tạo trong nhiều chữ.	去, 公园
寸	对, 谢	cùn	Thốn	tấc, đo lường	Bàn tay có điểm đo ở cổ tay.	Liên quan đến đo đạc, chuẩn mực, hành động tay.	对, 谢谢
尸	局	shī	Thi	xác/người nằm	Hình người nằm/ngồi cúi.	Liên quan đến thân thể, nơi chốn bao phủ; thành phần của 局.	邮局
门	问, 门	mén	Môn	cửa	Hình hai cánh cửa.	Liên quan đến cửa, ra vào; trong 问 là hỏi trong cửa.	问, 天安门
钅 / 金	银, 钱	jīn	Kim	vàng, kim loại	Biến thể 钅 của 金 đứng bên trái.	Liên quan đến tiền, kim loại, vật quý.	银行, 钱
见	见	jiàn	Kiến	thấy, gặp	Mắt phía trên và chân/người phía dưới.	Liên quan đến nhìn thấy, gặp gỡ.	见, 再见
小	你, 京	xiǎo	Tiểu	nhỏ	Một nét móc giữa hai chấm nhỏ.	Chỉ sự nhỏ bé.	你, 北京
生	姓, 星	shēng	Sinh	sinh ra, sống	Cây cỏ mọc lên khỏi mặt đất.	Liên quan đến sinh trưởng, đời sống.	姓, 星期
木	校, 杂	mù	Mộc	cây, gỗ	Hình cây có thân, cành, rễ.	Liên quan đến cây, gỗ, đồ vật từ gỗ.	学校, 杂志
走	起	zǒu	Tẩu	đi, chạy	Hình người bước đi.	Liên quan đến đi lại, chuyển động.	对不起
身	身, 谢	shēn	Thân	thân thể	Hình thân người.	Liên quan đến cơ thể, bản thân.	身体, 谢谢
气	气	qì	Khí	hơi, khí, thái độ	Các luồng hơi bay lên.	Liên quan đến hơi thở, khí, tinh thần/thái độ.	客气, 不客气
工	工	gōng	Công	công việc, thợ	Hình dụng cụ làm việc/đường thẳng cân đối.	Liên quan đến lao động, công việc, kỹ thuật.	工作
礻 / 示	神	shì	Thị	chỉ thị, thần linh	Bàn thờ/đồ cúng; bên trái viết 礻.	Liên quan đến thần linh, lễ nghi, tín ngưỡng.	神
贝	贵	bèi	Bối	vỏ sò, tiền của	Hình vỏ sò cổ dùng làm tiền.	Liên quan đến tiền, giá trị, quý báu.	贵姓
高	高	gāo	Cao	cao	Hình lầu cao nhiều tầng.	Chỉ độ cao, sự cao quý.	高兴
音	音	yīn	Âm	âm thanh	Lời nói có âm vang.	Liên quan đến âm thanh, phát âm.	发音
文	文, 这	wén	Văn	văn, chữ, hoa văn	Hình hoa văn/xăm trên thân người.	Liên quan đến chữ viết, văn hóa, văn chương.	文, 中文, 这
老	老	lǎo	Lão	già, lâu năm	Hình người già chống gậy.	Liên quan đến tuổi tác, kinh nghiệm.	老师
巾	师	jīn	Cân	khăn, vải	Hình mảnh khăn treo xuống.	Liên quan đến khăn, vải; là thành phần trong 师.	老师
里 / 田	里, 哪里, 这里	lǐ / tián	Lý / Điền	bên trong, ruộng	田 là ruộng; 里 gồm ruộng và đất, chỉ bên trong/nơi chốn.	Liên quan đến nơi chốn, bên trong, ruộng đất.	那里, 哪里, 这里
冂	内, 周	jiōng	Quynh	vùng bao, khung mở	Khung mở bao bên ngoài.	Chỉ sự bao quanh, phạm vi, bên trong.	河内, 周, 周末
儿	儿, 哪儿	ér	Nhi	trẻ nhỏ, âm uốn lưỡi	Hình đôi chân/người nhỏ.	Liên quan đến trẻ nhỏ; trong 哪儿 là âm nhi hóa khẩu ngữ.	哪儿
丶	太	zhǔ	Chủ / Chấm	nét chấm	Một chấm nhỏ thêm nghĩa/phân biệt chữ.	Dùng làm nét/chấm cấu tạo chữ.	太
干 / 年	年	gān / nián	Can / Niên	can, năm	Các nét ngang dọc như thân/cành; trong 年 chỉ năm/mùa vụ.	Liên quan đến trục, thân, thời gian trong chữ 年.	年
勹 / 勺	的	bāo / sháo	Bao / Chước	bao bọc, cái muỗng	Nét cong bao lấy phần bên trong.	Liên quan đến bao bọc; 勺 xuất hiện trong 的.	的
夂	客	zhǐ	Truy	đi chậm, bước đến	Hình bàn chân đi xuống.	Liên quan đến bước đi/đến; thành phần trong 客.	客气, 不客气
匕	它	bǐ	Chủy	thìa, biến thể người	Hình chiếc thìa hoặc người biến dạng.	Thành phần tạo chữ, thường dùng để phân biệt nghĩa/âm.	它
夕	名	xī	Tịch	chiều tối	Hình mặt trăng lúc chiều tối.	Liên quan đến đêm, chiều tối.	名字
戈	我	gē	Qua	cây giáo	Hình vũ khí/cây giáo cổ.	Liên quan đến vũ khí, chiến đấu; trong 我 là thành phần cấu tạo.	我
