character_id	simplified	traditional	pinyin	han_viet	meaning_vi	origin_meaning_vi	derived_meaning_vi	etymology_type	etymology_note_vi	stroke_count	stroke_hint_vi	radical_form	radical_note_vi	week	category	core_rank	is_core	oracle_image_url	bronze_image_url	seal_image_url	evolution_source_url	compounds	hidden_examples	is_active
mono-011	入	入	rù	nhập	đi vào / tham gia / trở thành thành viên / xác nhận hoặc đồng ý với / viết tắt của 入聲|入声[ru4 sheng1]	đi vào	tham gia / trở thành thành viên / xác nhận hoặc đồng ý với / viết tắt của 入聲|入声[ru4 sheng1]	Tượng hình	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Origin unclear. Variously explained a a pictograph of an entrance to a tent, or an arrow pointing forward.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	入	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	84	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%85%A5&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%85%A5&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%85%A5&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E5%85%A5&stype=0	进入 | 加入 | 收入 | 投入	进入 | 加入 | 收入	TRUE
mono-012	儿	儿	rén	nhân	"biến thể của 人[ren2] / bộ ""nhân"" trong chữ Hán (bộ Khang Hy số 10), xuất hiện trong 兒, 兀, 兄, v.v."	biến thể của 人[ren2]	"bộ ""nhân"" trong chữ Hán (bộ Khang Hy số 10), xuất hiện trong 兒, 兀, 兄, v.v."	Tượng hình	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Simplified form of 兒. Pictograph of a child with an opening in the top of its head. Represents the soft spot (fontanel) at the top of young infant heads.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	儿	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	2	Con người & Cơ thể	53	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%84%BF&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%84%BF&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%84%BF&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E5%84%BF&stype=0	这儿 | 儿子 | 女儿 | 哪儿	这儿 | 儿子 | 女儿	TRUE
mono-013	匕	匕	bǐ	chuỷ	dao găm / cái muôi / loại thìa cổ	dao găm	cái muôi / loại thìa cổ	Tượng hình	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Pictograph of a ladle.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	匕	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	0	FALSE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8C%95&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8C%95&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8C%95&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E5%8C%95&stype=0	匕首	匕首	TRUE
mono-014	几	几	jī	kỉ	bàn nhỏ	bàn nhỏ		Tượng hình	"Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Pictograph of a small table. In simplified Chinese 几 is also used to mean ""how much"", while in traditional Chinese this meaning is written with a separate character 幾."	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	几	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	32	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%87%A0&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%87%A0&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%87%A0&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E5%87%A0&stype=0	几乎 | 几个 | 好几 | 十几	几乎 | 几个 | 好几	TRUE
mono-015	九	九	jiǔ	cửu	chín / 9	chín	9	Chỉ sự/độc thể	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Origin unclear. There are varied explanations of what 九 is meant to represent, including a hook, an elbow, and a hand reaching out to grab something.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	九	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	108	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%9D&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%9D&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%9D&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E4%B9%9D&stype=0	九月 | 马英九 | 九江 | 九龙	九月 | 马英九 | 九江	TRUE
mono-016	乂	乂	yì	nghệ	điều chỉnh / quản lý / kiểm soát / cắt cỏ	điều chỉnh	quản lý / kiểm soát / cắt cỏ	Tượng hình	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Pictograph of a scissors-like tool for cutting grass.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	乂	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	0	FALSE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%82&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%82&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%82&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E4%B9%82&stype=0			TRUE
mono-017	刁	刁	Diāo	điêu	họ [Diao1]	họ [Diao1]		Chỉ sự/độc thể	Dạng chữ độc thể; đối chiếu Giáp Cốt văn, Kim văn và Tiểu Triện ở chuỗi hình bên cạnh.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	刁	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	0	FALSE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%88%81&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%88%81&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%88%81&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E5%88%81&stype=0	刁难 | 刁钻 | 刁蛮 | 刁滑	刁难 | 刁钻 | 刁蛮	TRUE
mono-018	了	了	le	liễu	(trợ từ chỉ hành động đã hoàn thành) / (trợ từ ngữ khí chỉ sự thay đổi trạng thái, tình huống hiện tại) / (trợ từ ngữ khí nhấn mạnh mệnh đề đứng trước)	(trợ từ chỉ hành động đã hoàn thành)	(trợ từ ngữ khí chỉ sự thay đổi trạng thái, tình huống hiện tại) / (trợ từ ngữ khí nhấn mạnh mệnh đề đứng trước)	Tượng hình	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Pictograph of a young child, similar to 子 but without arms. Relation to meaning uncertain. Sometimes explained as a derivation from 子 by cutting off the arms, depicting something being cut short or finished.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	了	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	1	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%BA%86&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%BA%86&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%BA%86&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E4%BA%86&stype=0	为了 | 了解 | 到了 | 除了	为了 | 了解 | 到了	TRUE
mono-019	刀	刀	Dāo	đao	họ [Dao1]	họ [Dao1]		Tượng hình	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Pictograph of a knife.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	刂	Khi làm thành phần chữ ghép thường biến thành 刂.	4	Đồ vật & Công cụ	80	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%88%80&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%88%80&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%88%80&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E5%88%80&stype=0	剪刀 | 刀子 | 菜刀 | 小刀	剪刀 | 刀子 | 菜刀	TRUE
mono-020	力	力	Lì	lực	họ [Li4]	họ [Li4]		Tượng hình	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Pictograph of a plow, representing strength	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	力	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	88	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8A%9B&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8A%9B&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8A%9B&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E5%8A%9B&stype=0	努力 | 能力 | 力量 | 压力	努力 | 能力 | 力量	TRUE
mono-021	乃	乃	nǎi	nải	là / vì vậy / nên / do đó / lúc đó / chỉ / lập tức sau đó	là	vì vậy / nên / do đó / lúc đó / chỉ / lập tức sau đó	Chỉ sự/độc thể	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Origin unclear.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	乃	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	0	FALSE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%83&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%83&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%83&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E4%B9%83&stype=0	木乃伊 | 乃至 | 乃是 | 康乃馨	木乃伊 | 乃至 | 乃是	TRUE
mono-022	又	又	yòu	lại	(một lần) nữa / cũng / vừa... vừa... / thế nhưng / (dùng để nhấn mạnh) dù sao đi nữa	(một lần) nữa	cũng / vừa... vừa... / thế nhưng / (dùng để nhấn mạnh) dù sao đi nữa	Tượng hình	"Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Pictograph of a hand. The character is based on the original meaning ""right hand"", which is unrelated to the modern meaning."	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	又	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	24	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8F%88&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8F%88&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8F%88&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E5%8F%88&stype=0	欲言又止 | 赔了夫人又折兵 | 玄之又玄 | 又及	欲言又止 | 赔了夫人又折兵 | 玄之又玄	TRUE
mono-023	乜	乜	miē	khiết	họ [Nie4]	họ [Nie4]		Chỉ sự/độc thể	Dạng chữ độc thể; đối chiếu Giáp Cốt văn, Kim văn và Tiểu Triện ở chuỗi hình bên cạnh.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	乜	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	0	FALSE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%9C&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%9C&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%9C&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E4%B9%9C&stype=0	乜斜	乜斜	TRUE
