Bài	Tên bài trong giáo trình	STT	Điểm ngữ pháp	Công thức / cấu trúc	Ví dụ tiếng Trung	Nghĩa tiếng Việt	Ghi chú học nhanh	grammar_id	lesson_id	lesson_order	level	tags	is_active
11	我们都是留学生	2	和 nối danh từ/đại từ	A + 和 + B	我和你都学习汉语。	Tôi và bạn đều học tiếng Hán.	和 nối các thành phần cùng loại, không dùng để nối hai mệnh đề như “và” tiếng Việt.	g0041	lesson-11	11	HSK1	bai-11|grammar	TRUE
11	我们都是留学生	3	也 và 都 phối hợp	A 也..., B 也... / 都	他们也都学习汉语。	Họ cũng đều học tiếng Hán.	Trật tự thường là 也 + 都 + động từ/tính từ.	g0042	lesson-11	11	HSK1	bai-11|grammar	TRUE
12	你在哪儿学习	1	Địa điểm đặt trước động từ với 在	主语 + 在 + nơi chốn + V	我在学校学习。	Tôi học ở trường.	在 + nơi chốn làm trạng ngữ, đặt trước động từ hành động.	g0043	lesson-12	12	HSK1	bai-12|grammar	TRUE
12	你在哪儿学习	2	呢 trong câu hỏi tỉnh lược	Danh từ/đại từ + 呢？	你呢？	Còn bạn thì sao?	呢 dùng để hỏi tiếp cùng chủ đề đã nói.	g0044	lesson-12	12	HSK1	bai-12|grammar	TRUE
12	你在哪儿学习	3	Câu hỏi với 哪	哪 + lượng từ + danh từ	你在哪个学校学习？	Bạn học ở trường nào?	哪 hỏi lựa chọn trong một phạm vi.	g0045	lesson-12	12	HSK1	bai-12|grammar	TRUE
13	这是不是中药	1	Câu hỏi chính phản	V + 不 + V / Adj + 不 + Adj	这是不是中药？	Đây có phải là thuốc Trung Quốc không?	Không dùng 吗 trong câu hỏi chính phản.	g0046	lesson-13	13	HSK1	bai-13|grammar	TRUE
13	这是不是中药	2	Câu hỏi 有...没有	有 + tân ngữ + 没有？	你有没有书？	Bạn có sách không?	Dạng chính phản của 有 là 有没有.	g0047	lesson-13	13	HSK1	bai-13|grammar	TRUE
13	这是不是中药	3	Trả lời tỉnh lược	是/不是, 有/没有	是，这是中药。	Vâng, đây là thuốc Trung Quốc.	Có thể trả lời ngắn bằng động từ chính.	g0048	lesson-13	13	HSK1	bai-13|grammar	TRUE
14	你的车是新的还是旧的	1	Câu hỏi lựa chọn với 还是	A + 还是 + B？	你的车是新的还是旧的？	Xe của bạn là mới hay cũ?	还是 chỉ dùng trong câu hỏi lựa chọn.	g0049	lesson-14	14	HSK1	bai-14|grammar	TRUE
14	你的车是新的还是旧的	2	的 thay thế danh từ đã biết	Tính từ/định ngữ + 的	这是新的。	Đây là cái mới.	的 có thể thay cho danh từ đã rõ trong ngữ cảnh.	g0050	lesson-14	14	HSK1	bai-14|grammar	TRUE
14	你的车是新的还是旧的	3	Tính từ làm định ngữ	Tính từ + 的 + danh từ	新的书	Sách mới	Tính từ một âm tiết đôi khi không cần 的 nếu quan hệ rất cố định.	g0051	lesson-14	14	HSK1	bai-14|grammar	TRUE
15	你们公司有多少职员	1	多少 hỏi số lượng	多少 + danh từ	你们公司有多少职员？	Công ty các bạn có bao nhiêu nhân viên?	多少 dùng cho số lượng chưa biết, thường lớn hơn 几.	g0052	lesson-15	15	HSK1	bai-15|grammar	TRUE
15	你们公司有多少职员	2	Câu hỏi số lượng với 几/多少	几/多少 + lượng từ + danh từ	你有几本书？	Bạn có mấy quyển sách?	几 thường cần lượng từ; 多少 có thể linh hoạt hơn.	g0053	lesson-15	15	HSK1	bai-15|grammar	TRUE
15	你们公司有多少职员	3	Câu có chủ ngữ là nơi/tổ chức + 有	Nơi/tổ chức + 有 + số lượng + danh từ	公司有二十个职员。	Công ty có 20 nhân viên.	Dùng để mô tả quy mô, thành phần, số lượng.	g0054	lesson-15	15	HSK1	bai-15|grammar	TRUE
