nhóm	hán tự	pinyin	nghĩa tiếng việt		chiết từ	ví dụ		word_id	pinyin_no_tone	meaning_en	word_type	level	lesson_id	lesson_order	topic_id	grammar_ids	audio_url	image_url	difficulty	tags	is_active
Nhóm 1	三	sān	3	danh từ	Chữ Tam (三): ba nét ngang, nghĩa là số 3.	三月三号。(sān yuè sān hào)	Ngày 3 tháng 3.	w0011	san		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	四	sì	4	danh từ	Chữ Tứ (四): bộ Vi/Khuông (囗) bao bên ngoài + phần trong chỉ số bốn.	四月四号。(sì yuè sì hào)	Ngày 4 tháng 4.	w0012	si		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	五	wǔ	5	danh từ	Chữ Ngũ (五): các nét ngang dọc giao nhau, nghĩa là số 5.	五月五号。(wǔ yuè wǔ hào)	Ngày 5 tháng 5.	w0013	wu		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	六	liù	6	danh từ	Chữ Lục (六): bộ Đầu (亠) ở trên + bộ Bát (八) ở dưới, nghĩa là số 6.	六月六号。(liù yuè liù hào)	Ngày 6 tháng 6.	w0014	liu		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	七	qī	7	danh từ	Chữ Thất (七): một nét ngang bị nét móc cắt qua, nghĩa là số 7.	七月七号。(qī yuè qī hào)	Ngày 7 tháng 7.	w0015	qi		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	八	bā	8	danh từ	Chữ Bát (八): hai nét tách ra hai bên, nghĩa là số 8.	八月八号。(bā yuè bā hào)	Ngày 8 tháng 8.	w0016	ba		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	九	jiǔ	9	danh từ	Chữ Cửu (九): nét phẩy và nét móc, nghĩa là số 9.	九月九号。(jiǔ yuè jiǔ hào)	Ngày 9 tháng 9.	w0017	jiu		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	十	shí	10	danh từ	Chữ Thập (十): một nét ngang + một nét sổ, nghĩa là số 10.	十月十号。(shí yuè shí hào)	Ngày 10 tháng 10.	w0018	shi		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	忙	máng	bận rộn	tính từ	Bên trái - Bộ Tâm đứng (忄) Bên phải - Chữ Vong (亡 - wáng) 	我很忙。(wǒ hěn máng)	Tôi rất bận.	w0019	mang		tính từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	很	hěn	lắm; quá; hết sức		Bên trái - Bộ Xích (彳) ,Bên phải - Chữ Cấn (艮 - gèn):	汉语很难。(Hànyǔ hěn nán)	Tiếng Hán rất khó.	w0020	hen			HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	汉语	Hànyǔ	tiếng hán		汉 (Hán): Bộ Thủy (氵) + chữ Hựu (又). 语 (Ngữ): Bộ Ngôn (讠) + chữ Ngô (吾 = 五 + 口), nghĩa là ngôn ngữ.	我学汉语。(wǒ xué Hànyǔ)	Tôi học tiếng Hán.	w0021	hanyu			HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	难	nán	khó		Bên trái - Bộ Hựu (又 - yòu) Tay không (又) bắt chim (隹), quả là rất Khó (难).	汉语难。(Hànyǔ nán)	Tiếng Hán khó.	w0022	nan			HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	太	tài	rất; quá (khen ngợi)		Chữ Thái (太): chữ Đại (大) thêm một chấm (丶), nghĩa là quá, rất.	太难吗？(tài nán ma)	Quá khó không?	w0023	tai			HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	吗	ma	không; ư; à (dùng ở cuối câu để hỏi)		Bộ Khẩu (口) + chữ Mã (马) mượn âm ma; dùng làm trợ từ nghi vấn ở cuối câu.	你好吗？(nǐ hǎo ma)	Bạn khỏe/tốt không?	w0024	ma			HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	他	tā	y; nó; hắn; anh ấy; anh ta; cậu ấy; người ấy (đàn ông)		Bên trái - Bộ Nhân đứng (亻) Bên phải - Chữ Dã (也 - yě)	他很忙。(tā hěn máng)	Anh ấy rất bận.	w0025	ta			HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	她	tā	cô ấy; chị ấy; bà ấy (phái nữ)		Bên trái - Bộ Nữ (女 - nǚ)  Bên phải - Chữ Dã (也 - yě) cung,Con gái (女) mà đứng cạnh chữ Cũng (也), đích thị là Cô ấy (她) rồi.	她很好。(tā hěn hǎo)	Cô ấy rất tốt.	w0026	ta			HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	它	tā	nó; cái đó; điều đó; việc ấy (đại từ chỉ sự vật, con vật)		Bộ thủ chính: Bộ Miên (宀) + 5 netDưới mái nhà (宀) che, đồ vật gọn ghẽ, gọi Nó (它) ra nghe.	它很大。(tā hěn dà)	Nó rất lớn.	w0027	ta			HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	哥哥	gē	anh trai		Chữ trên & Chữ dưới đều là chữ Khả (可 - kě): Nghĩa là có thể, đồng ý, chấp thuận.	哥哥学汉语。(gēge xué Hànyǔ)	Anh trai học tiếng Hán.	w0028	ge			HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	妹妹	mèimei	em gái		Bên trái - Bộ Nữ (女) Bên phải - Chữ Vị (未 - wèi): Nghĩa là chưa, vị lai (tương lai) Con gái (女) mà tuổi còn xanh, Chưa (未) hề khôn lớn, chính là Muội muội (妹).	妹妹学英语。(mèimei xué Yīngyǔ)	Em gái học tiếng Anh.	w0029	meimei			HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	姐姐	jiějie	chị gái		Bên trái - Bộ Nữ (女):Bên phải - Chữ Thả (且 - qiě) (nghĩa là "với lại, vả lại, lại còn") ,Người phụ nữ (女) quyền lực trong nhà, vả lại (且) còn biết lo toan, chính là Tỷ tỷ (姐)	姐姐学日语。(jiějie xué Rìyǔ)	Chị gái học tiếng Nhật.	w0030	jiejie			HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 2	爸爸	bàba	bố		Phía trên - Bộ Phụ (父 - fù) ,Phía dưới - Chữ Ba (巴 - bā) Đầu đội chữ Phụ (父 - cha), dưới ôm chữ Ba (巴), ghép lại mượt mà, thành từ gọi Bố (爸).	爸爸去银行。(bàba qù yínháng)	Bố đi ngân hàng.	w0031	baba			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	弟弟	dìdi	em trai.		Bộ thủ quy ước - Bộ Cung (弓 - gōng) Nét phụ trên đầu - Bộ Bát (八) và nét phẩy Đầu đội mũ nhỏ (丷), lưng đeo cánh cung (弓), tay cầm mũi tên, chính là Đệ đệ (弟).	弟弟去学校。(dìdi qù xuéxiào)	Em trai đi trường học.	w0032	didi			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	学	xué	học		Phía trên - Bộ Tử (子 - zǐ) Phía trên bộ Tử - Phần mái che (bộ Mịch ⺍) và 3 chấm đầuBa chấm trên đầu tỏa hào quang, mái nhà che chở lớp học đường, đứa trẻ (子) ngồi trong chăm chỉ đọc, chữ Học (学) thắp sáng mọi nẻo đường.	我学汉语。(wǒ xué Hànyǔ)	Tôi học tiếng Hán.	w0033	xue			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	英语	anh ngữ	anh ngữ		(Cỏ hoa nước Anh và Năm cái miệng nói chuyện)	我学英语。(wǒ xué Yīngyǔ)	Tôi học tiếng Anh.	w0034	anh ngu			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	阿拉伯语	ālābó yǔ	tiếng Ả Rập		阿: Bộ Ấp (阝) + Khả (可). 拉: Bộ Thủ (扌) + Lập (立). 伯: Bộ Nhân (亻) + Bạch (白). 语: Bộ Ngôn (讠) + Ngô (吾).	他学阿拉伯语。(tā xué Ālābóyǔ)	Anh ấy học tiếng Ả Rập.	w0035	alabo yu			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	德语	déyǔ	tiếng Đức		Người có "Đức" là người có hành vi đúng đắn (bộ Xích), biết dùng mười con mắt để quan sát thế giới một cách thấu suốt, bao dung, và luôn sống trung thành với một lòng, một dạ, một đức tin từ con tim chân thành.	她学德语。(tā xué Déyǔ)	Cô ấy học tiếng Đức.	w0036	deyu			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	俄语	éyǔ	tiếng Nga		Người (亻) đứng kề Tôi (我) nước Nga bừng sáng, Ngôn (讠) bên năm (五) khẩu (口) thành tiếng Nga (俄语) vang.	哥哥学俄语。(gēge xué Éyǔ)	Anh trai học tiếng Nga.	w0037	eyu			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	法语	fǎyǔ	pháp ngữ		法 (Pháp): Bộ Thủy (氵) + chữ Khứ (去). 语 (Ngữ): Bộ Ngôn (讠) + chữ Ngô (吾), nghĩa là tiếng/ngôn ngữ.	姐姐学法语。(jiějie xué Fǎyǔ)	Chị gái học tiếng Pháp.	w0038	fayu			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	韩国语	hánguó yǔ	hàn quốc ngữ		"Bên trái là ánh nắng ban mai (Thập 十 + Tảo 早), bên phải là tấm da thuộc (韦). Người nước Hàn (韩) từ sáng sớm đã mang tấm da ra phơi.

Mẹo nhớ chữ 国 (guó):

Vây thành dày (囗) bọc ngọc xanh (玉), tạo thành đất Quốc (国) thái dân an."	妹妹学韩国语。(mèimei xué Hánguóyǔ)	Em gái học tiếng Hàn.	w0039	hanguo yu			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	日语	Rìyǔ	nhật ngữ		日 (Nhật): hình mặt trời. 语 (Ngữ): Bộ Ngôn (讠) + chữ Ngô (吾), nghĩa là tiếng Nhật.	爸爸学日语。(bàba xué Rìyǔ)	Bố học tiếng Nhật.	w0040				HSK1							1	Mẹo nhớ chữ 国 (guó):	TRUE
Nhóm 2	西班牙语	Xībānyáyǔ	tây ban nha ngữ		西: phương Tây. 班: hai phần Ngọc/Vương (王) hai bên + nét đao ở giữa. 牙: răng/ngà. 语: Bộ Ngôn (讠) + Ngô (吾).	弟弟学西班牙语。(dìdi xué Xībānyáyǔ)	Em trai học tiếng Tây Ban Nha.	w0041	em gai hoc tieng han.			HSK1							1	Vây thành dày (囗) bọc ngọc xanh (玉), tạo thành đất Quốc (国) thái dân an."	TRUE
Nhóm 2	去	qù	đi; rời; rời bỏ		Bộ thủ quy ước - Bộ Cung (弓 - gōng): Hình cánh cung. Nét sổ gập gập uốn lượn ở giữa chữ chính là biến thể của bộ Cung.	我去学校。(wǒ qù xuéxiào)	Tôi đi trường học.	w0042	riyu			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	对	duì	đúng		Bên trái - Chữ Hựu (又 - yòu) Bên phải - Bộ Thốn (寸 - cùn)( đo lương ) Bàn tay (又) cầm thước tấc (寸) đo, phân minh rõ rệt chẳng lo sai vần, việc làm mực thước định phân, chữ Đối/Đúng (对) đó mười phần chuẩn gia.	这个对吗？(zhège duì ma)	Cái này đúng không?	w0043	xibanyayu			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	邮局	yóujú	bưu cục		Nét phụ trên đầu - Bộ Bát (八) và nét phẩy: Tượng trưng cho phần dây quấn hoặc lông vũ trang trí.	我去邮局。(wǒ qù yóujú)	Tôi đi bưu cục.	w0044	qu			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	寄	jì	gửi; gởi; chuyển đi		"宀 (Bộ Miên): Mái nhà.

大 (Chữ Đại): To lớn, người lớn.

可 (Chữ Khả): Có thể, khả năng."	我寄信。(wǒ jì xìn)	Tôi gửi thư.	w0045	dui			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	信	xìn	thư, động từ tin tưởng		"亻 (Bộ Nhân): Con người.

言 (Chữ Ngôn): Ngôn ngữ, lời nói."	我有信。(wǒ yǒu xìn)	Tôi có thư.	w0046	youju			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	银行	yínháng	nngân hàng		"Ngân (银 - Bạc/Tiền bạc) 钅 / 金 (Bộ Kim): Vàng, kim loại quý.艮 (Chữ Cấn): Cứng cỏi, dừng lại, hoặc giữ lại.


Hàng (行 - Hàng lối/Nơi kinh doanh) :  1彳 (Bộ Xích): Bước chân trái (nhấc chân lên bước đi).

                                                             2 亍 (Bộ Súc): Bước chân phải (bước tiếp theo để hoàn thành bước đi)."	我去银行。(wǒ qù yínháng)	Tôi đi ngân hàng.	w0047	ji			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	取	qǔ	rút , lấy		"耳 (Chữ Nhĩ): Cái tai

又 (Chữ Hựu): Cái tay (hành động lặp đi lặp lại, hoặc nắm lấy)."	我去银行取钱。(wǒ qù yínháng qǔ qián)	Tôi đi ngân hàng rút tiền.	w0048				HSK1							1	大 (Chữ Đại): To lớn, người lớn.	TRUE
Nhóm 2	钱	qián	tiền		"钅 (Bộ Kim): Vàng, kim loại quý
Qua (戈 - binh khí, cây giáo) chồng lên nhau."	我有钱。(wǒ yǒu qián)	Tôi có tiền.	w0049	toi gui thu.			HSK1							1	可 (Chữ Khả): Có thể, khả năng."	TRUE
Nhóm 2	明天	míngtiān	ngày mai		"日 (Bộ Nhật): Mặt trời.

月 (Bộ Nguyệt): Mặt trăng.
THIÊN (天 - Trời, ngày)"	明天我去北京。(míngtiān wǒ qù Běijīng)	Ngày mai tôi đi Bắc Kinh.	w0050	xin			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	天	tiān	ngày , trời		"大 (Chữ Đại)
一 (Nét Ngang)"	一天很忙。(yī tiān hěn máng)	Một ngày rất bận.	w0051	toi co thu.			HSK1							1	言 (Chữ Ngôn): Ngôn ngữ, lời nói."	TRUE
Nhóm 2	见	jiàn	gặp thấy		"冂 chữ mục (con mắt)  冂 / 目 (Phần phía trên)
儿 (Chữ Nhi / bộ Nhân đi)"	明天见。(míngtiān jiàn)	Ngày mai gặp.	w0052	yinhang			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	北京	Běijīng	bắc kinh 		北 (Bắc): hình hai người quay lưng, chỉ phương bắc. 京 (Kinh): bộ Đầu (亠) + Khẩu (口) + Tiểu (小), chỉ kinh đô.	北京很大。(Běijīng hěn dà)	Bắc Kinh rất lớn.	w0053				HSK1	lesson-1	1					1	Hàng (行 - Hàng lối/Nơi kinh doanh) :  1彳 (Bộ Xích): Bước chân trái (nhấc chân lên bước đi).	TRUE
Nhóm 2	你	nǐ	bạn		"亻 (Bộ Nhân): Con người.

冖 (Bộ Mịch): Cái khăn trùm, mái che (khoảng không gian bao bọc).

小 (Chữ Tiểu): Nhỏ bé (2 nét phẩy hai bên và nét móc ở giữa)."	你学汉语吗？(nǐ xué Hànyǔ ma)	Bạn học tiếng Hán không?	w0054	toi đi ngan hang.			HSK1	lesson-2	2					1	2 亍 (Bộ Súc): Bước chân phải (bước tiếp theo để hoàn thành bước đi)."	TRUE
Nhóm 2	也	Chữ Dã  - yě)	 Cũng , tường đồng		Chữ Dã (也): nét ngang gập và móc cong, thường dùng mượn âm; nghĩa là cũng.	我也学汉语。(wǒ yě xué Hànyǔ)	Tôi cũng học tiếng Hán.	w0055	qu			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	今天	jīntiān	hôm nay; bữa ni; bữa nay		"KIM (今) Hiện tại, ngay bây giờ Mẹo viết chữ 今: Viết chữ Nhân (人) thật rộng ở trên để che chở cho phần móc gập và nét phẩy nhỏ ở bên dưới.
THIÊN (天 - Trời, ngày)"	今天我很忙。(jīntiān wǒ hěn máng)	Hôm nay tôi rất bận.	w0056	toi đi ngan hang rut tien.			HSK1							1	又 (Chữ Hựu): Cái tay (hành động lặp đi lặp lại, hoặc nắm lấy)."	TRUE
Nhóm 2	昨天	zuótiān	hôm qua		昨:日 (Bộ Nhật) ,乍 (Chữ Sạ/Chạ): Nghĩa gốc là vừa mới, đột nhiên	昨天我去学校。(zuótiān wǒ qù xuéxiào)	Hôm qua tôi đi trường học.	w0057	qian			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	星期	xīngqī	thứ, tuần lễ		"xīng TINH (星 - Ngôi sao) :日 (Bộ Nhật)
                                  生 (Chữ Sinh): Sinh ra, lớn lên, xuất hiện.
qī KỲ (期 - Thời kỳ) :其 (Chữ Kỳ)
                              月 (Bộ Nguyệt
"	今天星期几？(jīntiān xīngqī jǐ)	Hôm nay thứ mấy?	w0058	toi co tien.			HSK1							1	Qua (戈 - binh khí, cây giáo) chồng lên nhau."	TRUE
Nhóm 2	星期一	xīngqī	thứ 2		星期 (tuần): 星 = Nhật (日) + Sinh (生), 期 = Kỳ (其) + Nguyệt (月). 一: số 1, thành thứ hai.	今天星期一。(jīntiān xīngqīyī)	Hôm nay là thứ hai.	w0059	mingtian			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 2	星期二	xīngqī	thứ 3		星期 (tuần): 星 = Nhật (日) + Sinh (生), 期 = Kỳ (其) + Nguyệt (月). 二: số 2, thành thứ ba.	今天星期二。(jīntiān xīngqīèr)	Hôm nay là thứ ba.	w0060				HSK1							1	月 (Bộ Nguyệt): Mặt trăng.	TRUE
Nhóm 3	星期三	xīngqī	thứ 4		星期 (tuần): 星 = Nhật (日) + Sinh (生), 期 = Kỳ (其) + Nguyệt (月). 三: số 3, thành thứ tư.	今天星期三。(jīntiān xīngqīsān)	Hôm nay là thứ tư.	w0061	ngay mai toi đi bac kinh.			HSK1							1	THIÊN (天 - Trời, ngày)"	TRUE
Nhóm 3	星期四	xīngqī	thứ 5		星期 (tuần): 星 = Nhật (日) + Sinh (生), 期 = Kỳ (其) + Nguyệt (月). 四: số 4, thành thứ năm.	今天星期四。(jīntiān xīngqīsì)	Hôm nay là thứ năm.	w0062	tian			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 3	星期五	xīngqī	thứ 6		星期 (tuần): 星 = Nhật (日) + Sinh (生), 期 = Kỳ (其) + Nguyệt (月). 五: số 5, thành thứ sáu.	今天星期五。(jīntiān xīngqīwǔ)	Hôm nay là thứ sáu.	w0063	mot ngay rat ban.			HSK1							1	一 (Nét Ngang)"	TRUE
Nhóm 3	星期六	xīngqī	thứ 7		星期 (tuần): 星 = Nhật (日) + Sinh (生), 期 = Kỳ (其) + Nguyệt (月). 六: số 6, thành thứ bảy.	今天星期六。(jīntiān xīngqīliù)	Hôm nay là thứ bảy.	w0064	jian			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 3	星期天	xīngqītiān	cuối tuần		"星 (Tinh): Mặt trời (日) sinh ra (生) những ngôi sao
期 (Kỳ): Chu kỳ thay đổi của mặt trăng (月).
天 (Thiên)"	明天星期天。(míngtiān xīngqītiān)	Ngày mai là chủ nhật/cuối tuần.	w0065	ngay mai gap.			HSK1							1	儿 (Chữ Nhi / bộ Nhân đi)"	TRUE
Nhóm 3	周末	zhōumò	cuối tuần		"CHU (周 - Vòng tròn, chu kỳ, tuần):冂 (Bộ Quynh): Vùng biên ải hoặc cái khung
 吉 (Chữ Cát - Tốt lành): Gồm chữ Sĩ (士 - kẻ sĩ) ở trên và chữ Khẩu (口) kẻ si nói lời tốt lành
MẠT (末) Ngọn, cuối cùng, kết thúc:木 (Chữ Mộc) có thêm gạch ngang"	周末我去公园。(zhōumò wǒ qù gōngyuán)	Cuối tuần tôi đi công viên.	w0066	beijing			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 3	周	zhōu	tuần , thứ		"CHU (周 - Vòng tròn, chu kỳ, tuần):冂 (Bộ Quynh): Vùng biên ải hoặc cái khung
 吉 (Chữ Cát - Tốt lành): Gồm chữ Sĩ (士 - kẻ sĩ) ở trên và chữ Khẩu (口) kẻ si nói lời tốt lành"	一周很忙。(yī zhōu hěn máng)	Một tuần rất bận.	w0067	ni			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 3	周一	zhōu	thứ 2		周 (Chu): bộ Quynh (冂) bao ngoài + chữ Cát (吉). 一: số 1, thành thứ hai.	今天周一。(jīntiān zhōuyī)	Hôm nay là thứ hai.	w0068				HSK1							1	冖 (Bộ Mịch): Cái khăn trùm, mái che (khoảng không gian bao bọc).	TRUE
Nhóm 3	周二	zhōu	thứ 3		周 (Chu): bộ Quynh (冂) bao ngoài + chữ Cát (吉). 二: số 2, thành thứ ba.	今天周二。(jīntiān zhōuèr)	Hôm nay là thứ ba.	w0069	ban hoc tieng han khong?			HSK1	lesson-2	2					1	小 (Chữ Tiểu): Nhỏ bé (2 nét phẩy hai bên và nét móc ở giữa)."	TRUE
Nhóm 3	周三	zhōu	thứ 4		周 (Chu): bộ Quynh (冂) bao ngoài + chữ Cát (吉). 三: số 3, thành thứ tư.	今天周三。(jīntiān zhōusān)	Hôm nay là thứ tư.	w0070	chu da  - ye)			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 3	周四	zhōu	thứ 5		周 (Chu): bộ Quynh (冂) bao ngoài + chữ Cát (吉). 四: số 4, thành thứ năm.	今天周四。(jīntiān zhōusì)	Hôm nay là thứ năm.	w0071	jintian			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 3	周五	zhōu	thứ 6		周 (Chu): bộ Quynh (冂) bao ngoài + chữ Cát (吉). 五: số 5, thành thứ sáu.	今天周五。(jīntiān zhōuwǔ)	Hôm nay là thứ sáu.	w0072	hom nay toi rat ban.			HSK1							1	THIÊN (天 - Trời, ngày)"	TRUE
Nhóm 3	周六	zhōu	thứ 7		周 (Chu): bộ Quynh (冂) bao ngoài + chữ Cát (吉). 六: số 6, thành thứ bảy.	今天周六。(jīntiān zhōuliù)	Hôm nay là thứ bảy.	w0073	zuotian			HSK1	lesson-2	2					1	Nhóm 2	TRUE
								w0074	xingqi			HSK1	lesson-2	2					1	Nhóm 2	TRUE
Nhóm 3	几	jǐ	mấy vài , hỏi số lượng		Chữ Kỷ (几): hình chiếc ghế nhỏ/cái bàn thấp; dùng để hỏi số lượng: mấy, vài.	你有几个哥哥？(nǐ yǒu jǐ gè gēge)	Bạn có mấy anh trai?	w0075				HSK1							1	生 (Chữ Sinh): Sinh ra, lớn lên, xuất hiện.	TRUE
Nhóm 3	回	huí	về trở về , quay lại		Chữ Hồi (回): Khẩu lớn (囗) bao ngoài + Khẩu nhỏ (口) bên trong, ý quay vòng trở lại.	我回学校。(wǒ huí xuéxiào)	Tôi về trường học.	w0076				HSK1							1	qī KỲ (期 - Thời kỳ) :其 (Chữ Kỳ)	TRUE
Nhóm 3	学校	xuéxiào	trường học , nhà trường		"Chữ 学(hoc) :xué
chu HIỆU,trường học (校) xiào :木 (Bộ Mộc) +交 (Chữ Giao) nơi có cây 木  mọi người giao lưu luu 交  ,là trường học"	我在学校学汉语。(wǒ zài xuéxiào xué Hànyǔ)	Tôi học tiếng Hán ở trường.	w0077				HSK1							1	月 (Bộ Nguyệt	TRUE
Nhóm 3	再见	zàijiàn	tạm biệt		"TÁI (再 zài- Lại, một lần nữa) 一 (Nét ngang trên cùng): Tượng trưng cho một vạch mốc hoặc bầu trời.

                                                 冂 (Bộ Quynh): Cái khung bao bọc, vùng biên ải (bạn đã gặp rất nhiều lần rồi).

                                             土 (Bộ Thổ - Đất) hoặc các nét ngang dọc bên trong: Biến thể qua các thời kỳ, chỉ sự lặp đi lặp lại trên một nền tảng.

               Câu chuyện ghi nhớ: Đi qua cái khung cửa (冂) cũ, bước đi trên mặt đất (土) và vượt qua một cột mốc (一) một lần nữa, đó chính là Tái (再).
见 jiàn KIẾN
"	明天见，再见。(míngtiān jiàn, zàijiàn)	Mai gặp, tạm biệt.	w0078	hom nay thu may?			HSK1							1	"	true
w0079	xingqi			HSK1	lesson-2	2					1	Nhóm 2	true
w0080	xingqi			HSK1	lesson-2	2					1	Nhóm 2	true
w0081	xingqi			HSK1	lesson-3	3					1	Nhóm 3	true
w0082	xingqi			HSK1	lesson-3	3					1	Nhóm 3	true
w0083	xingqi			HSK1	lesson-3	3					1	Nhóm 3	true
w0084	xingqi			HSK1	lesson-3	3					1	Nhóm 3	true
w0085	xingqitian			HSK1	lesson-3	3					1	Nhóm 3	true
w0086				HSK1							1	期 (Kỳ): Chu kỳ thay đổi của mặt trăng (月).	true
w0087	ngay mai la chu nhat/cuoi tuan.			HSK1							1	天 (Thiên)"	TRUE
