# Câu Hán|Pinyin (thanh từ điển; 一/不 có thể biến điệu khi nói)|Nghĩa Việt|Từ được giải thích:nghĩa trong câu
我看见了北斗星。|Wǒ kànjiàn le Běidǒuxīng.|Tôi đã nhìn thấy sao Bắc Đẩu.|北斗星:Bắc Đẩu, 斗 đọc dǒu
我喜欢吃鸡丁。|Wǒ xǐhuan chī jīdīng.|Tôi thích ăn thịt gà thái hạt lựu.|鸡丁:thịt gà thái hạt lựu
他姓丁。|Tā xìng Dīng.|Anh ấy họ Đinh.|丁:họ Đinh
她的丈夫在家。|Tā de zhàngfu zài jiā.|Chồng cô ấy ở nhà.|丈夫:chồng
这条绳子有一丈长。|Zhè tiáo shéngzi yǒu yī zhàng cháng.|Sợi dây này dài một trượng.|丈:trượng, đơn vị đo truyền thống
路边有一个乞丐。|Lùbiān yǒu yī ge qǐgài.|Bên đường có một người ăn xin.|乞丐:người ăn xin
他给乞丐买了饭。|Tā gěi qǐgài mǎi le fàn.|Anh ấy đã mua cơm cho người ăn xin.|乞丐:người ăn xin
那里有一个小山丘。|Nàlǐ yǒu yī ge xiǎo shānqiū.|Ở đó có một ngọn đồi nhỏ.|山丘:đồi
我们爬上了山丘。|Wǒmen pá shàng le shānqiū.|Chúng tôi đã leo lên đồi.|山丘:đồi
树丫上有一只鸟。|Shùyā shàng yǒu yī zhī niǎo.|Trên chạc cây có một con chim.|树丫:chạc cây
小丫头笑了。|Xiǎo yātou xiào le.|Cô bé cười rồi.|丫头:cô bé, cách gọi thân mật
胜败乃兵家常事。|Shèngbài nǎi bīngjiā chángshì.|Thắng bại là chuyện thường của nhà binh.|乃:là, cách dùng văn viết
失败乃成功之母。|Shībài nǎi chénggōng zhī mǔ.|Thất bại là mẹ thành công.|乃:là, trong câu tục ngữ
请解释这个词的含义。|Qǐng jiěshì zhè ge cí de hányì.|Hãy giải thích ý nghĩa của từ này.|含义:ý nghĩa
乍一看，他像老师。|Zhà yī kàn, tā xiàng lǎoshī.|Thoạt nhìn, anh ấy giống giáo viên.|乍一看:thoạt nhìn
乍一听，我没听懂。|Zhà yī tīng, wǒ méi tīng dǒng.|Mới nghe lần đầu, tôi chưa hiểu.|乍一听:vừa nghe lần đầu
请看乙组的答案。|Qǐng kàn yǐ zǔ de dá'àn.|Hãy xem đáp án của nhóm B.|乙:thứ hai, nhóm B
乙方已经签字了。|Yǐfāng yǐjīng qiānzì le.|Bên B đã ký tên rồi.|乙方:bên B trong hợp đồng
请给予他帮助。|Qǐng jǐyǔ tā bāngzhù.|Hãy giúp đỡ anh ấy.|给予:cho, dành cho
这项计划获得了批准。|Zhè xiàng jìhuà huòdé le pīzhǔn.|Kế hoạch này đã được phê duyệt.|计划:kế hoạch
老师给予我鼓励。|Lǎoshī jǐyǔ wǒ gǔlì.|Thầy/cô dành cho tôi sự động viên.|给予:dành cho
他在路上彳亍。|Tā zài lù shàng chìchù.|Anh ấy đi chậm chạp trên đường (văn viết).|彳亍:đi chậm, do dự
书中用了“彳亍”这个词。|Shū zhōng yòng le “chìchù” zhè ge cí.|Sách dùng từ “彳亍”.|彳亍:bước đi chậm, từ văn viết
他姓亓。|Tā xìng Qí.|Anh ấy họ Kỳ.|亓:họ Kỳ
亓先生来了。|Qí xiānsheng lái le.|Ông Kỳ đến rồi.|亓:họ Kỳ
那位老人已经死亡。|Nà wèi lǎorén yǐjīng sǐwáng.|Người cao tuổi ấy đã qua đời.|死亡:chết, cách nói trang trọng
我读过亡羊补牢的故事。|Wǒ dú guo wáng yáng bǔ láo de gùshi.|Tôi đã đọc truyện mất dê mới sửa chuồng.|亡羊补牢:mất dê sửa chuồng, sửa sai khi chưa quá muộn
他说话有点突兀。|Tā shuōhuà yǒu diǎn tūwù.|Cách anh ấy nói hơi đột ngột.|突兀:đột ngột, không tự nhiên
这座山显得很突兀。|Zhè zuò shān xiǎnde hěn tūwù.|Ngọn núi này trông nhô cao đột ngột.|突兀:nhô cao, nổi bật đột ngột
这是一个好兆头。|Zhè shì yī ge hǎo zhàotou.|Đây là một dấu hiệu tốt.|兆头:dấu hiệu, điềm
暴雨来临前有征兆。|Bàoyǔ láilín qián yǒu zhēngzhào.|Trước khi mưa lớn đến có dấu hiệu.|征兆:dấu hiệu báo trước
太阳冉冉升起。|Tàiyáng rǎnrǎn shēngqǐ.|Mặt trời từ từ mọc lên.|冉冉:chầm chậm, văn viết
她姓冉。|Tā xìng Rǎn.|Cô ấy họ Nhiễm.|冉:họ Nhiễm
这块地面凸起来了。|Zhè kuài dìmiàn tū qǐlai le.|Chỗ mặt đất này nhô lên rồi.|凸:lồi, nhô ra
这个镜子是凸的。|Zhè ge jìngzi shì tū de.|Cái gương này lồi.|凸:lồi
地面凹下去了。|Dìmiàn āo xiàqu le.|Mặt đất lõm xuống rồi.|凹:lõm
这条路凹凸不平。|Zhè tiáo lù āotū bù píng.|Con đường này gồ ghề.|凹凸不平:lồi lõm không bằng phẳng
不要刁难别人。|Bù yào diāonàn biérén.|Đừng làm khó người khác.|刁难:gây khó dễ
他很刁钻。|Tā hěn diāozuān.|Anh ấy rất khó chiều.|刁钻:khó chiều, ranh mãnh
刀刃很锋利。|Dāorèn hěn fēnglì.|Lưỡi dao rất sắc.|刀刃:lưỡi dao
不要碰刀刃。|Bù yào pèng dāorèn.|Đừng chạm vào lưỡi dao.|刀刃:lưỡi dao
这是一把匕首。|Zhè shì yī bǎ bǐshǒu.|Đây là một con dao găm.|匕首:dao găm
博物馆里有一把古代匕首。|Bówùguǎn lǐ yǒu yī bǎ gǔdài bǐshǒu.|Trong bảo tàng có một con dao găm cổ.|匕首:dao găm
我不相信占卜。|Wǒ bù xiāngxìn zhānbǔ.|Tôi không tin bói toán.|占卜:bói toán
他姓卜。|Tā xìng Bǔ.|Anh ấy họ Bốc.|卜:họ Bốc
他姓卞。|Tā xìng Biàn.|Anh ấy họ Biện.|卞:họ Biện
卞老师教中文。|Biàn lǎoshī jiāo Zhōngwén.|Thầy/cô Biện dạy tiếng Trung.|卞:họ Biện
请注意卫生。|Qǐng zhùyì wèishēng.|Hãy chú ý vệ sinh.|卫生:vệ sinh
卫生间在哪里？|Wèishēngjiān zài nǎlǐ?|Nhà vệ sinh ở đâu?|卫生间:nhà vệ sinh
他研究古代官吏。|Tā yánjiū gǔdài guānlì.|Anh ấy nghiên cứu quan lại thời cổ.|官吏:quan lại
书里写了一个小吏的故事。|Shū lǐ xiě le yī ge xiǎolì de gùshi.|Sách kể chuyện một viên quan nhỏ.|小吏:quan lại cấp thấp
树枝垂下来了。|Shùzhī chuí xiàlai le.|Cành cây rủ xuống rồi.|垂:rủ xuống
请画一条垂直线。|Qǐng huà yī tiáo chuízhí xiàn.|Hãy vẽ một đường thẳng đứng.|垂直:thẳng đứng, vuông góc
除夕我们一起吃饭。|Chúxī wǒmen yīqǐ chī fàn.|Đêm giao thừa chúng tôi ăn cùng nhau.|除夕:đêm giao thừa
夕阳很美。|Xīyáng hěn měi.|Ánh mặt trời chiều rất đẹp.|夕阳:mặt trời lúc chiều tà
这个计划夭折了。|Zhè ge jìhuà yāozhé le.|Kế hoạch này bị bỏ dở rồi.|夭折:chấm dứt trước khi hoàn thành
故事里的孩子夭折了。|Gùshi lǐ de háizi yāozhé le.|Đứa trẻ trong truyện mất sớm.|夭折:chết yểu
这次他化险为夷了。|Zhè cì tā huà xiǎn wéi yí le.|Lần này anh ấy đã thoát nguy hiểm.|化险为夷:chuyển nguy thành an
这座旧房被夷为平地。|Zhè zuò jiù fáng bèi yí wéi píngdì.|Ngôi nhà cũ này bị san phẳng.|夷为平地:san thành đất bằng
水里有孑孓。|Shuǐ lǐ yǒu jiéjué.|Trong nước có bọ gậy.|孑孓:bọ gậy
孑孓是蚊子的幼虫。|Jiéjué shì wénzi de yòuchóng.|Bọ gậy là ấu trùng muỗi.|孑孓:bọ gậy
我要一张一寸照片。|Wǒ yào yī zhāng yī cùn zhàopiàn.|Tôi muốn một tấm ảnh cỡ một tấc.|寸:đơn vị kích thước ảnh tại Trung Quốc
这双鞋的尺寸不对。|Zhè shuāng xié de chǐcùn bú duì.|Cỡ đôi giày này không đúng.|尺寸:kích cỡ
我喜欢水果，尤其是苹果。|Wǒ xǐhuan shuǐguǒ, yóuqí shì píngguǒ.|Tôi thích trái cây, đặc biệt là táo.|尤其:đặc biệt
今天尤其冷。|Jīntiān yóuqí lěng.|Hôm nay đặc biệt lạnh.|尤其:đặc biệt
她姓尹。|Tā xìng Yǐn.|Cô ấy họ Doãn.|尹:họ Doãn
尹先生在家。|Yǐn xiānsheng zài jiā.|Ông Doãn ở nhà.|尹:họ Doãn
不用囤很多东西。|Bù yòng tún hěn duō dōngxi.|Không cần tích trữ nhiều đồ.|囤:tích trữ
他们在这里屯粮。|Tāmen zài zhèlǐ tún liáng.|Họ tích trữ lương thực ở đây.|屯粮:tích trữ lương thực
村里有军队驻屯。|Cūn lǐ yǒu jūnduì zhùtún.|Có quân đội đóng trong làng.|驻屯:đóng quân
变化很巨大。|Biànhuà hěn jùdà.|Sự thay đổi rất lớn.|巨大:to lớn
这里有一块巨石。|Zhèlǐ yǒu yī kuài jùshí.|Ở đây có một tảng đá khổng lồ.|巨石:tảng đá lớn
电话号码里的“一”可以读“幺”。|Diànhuà hàomǎ lǐ de “yī” kěyǐ dú “yāo”.|Số 1 trong số điện thoại có thể đọc là yāo.|幺:cách đọc số 1 để tránh nghe nhầm
请把“幺”写下来。|Qǐng bǎ “yāo” xiě xiàlai.|Hãy viết chữ 幺 xuống.|幺:chữ yêu, trong bài học chữ
他会射箭，也会拉弓。|Tā huì shèjiàn, yě huì lā gōng.|Anh ấy biết bắn tên và giương cung.|弓:cung
博物馆里有一张古弓。|Bówùguǎn lǐ yǒu yī zhāng gǔgōng.|Trong bảo tàng có một cây cung cổ.|古弓:cung cổ
老师批评了他，没有斥责他。|Lǎoshī pīpíng le tā, méiyǒu chìzé tā.|Thầy/cô phê bình chứ không mắng anh ấy.|斥责:trách mắng
不要排斥新同学。|Bù yào páichì xīn tóngxué.|Đừng xa lánh bạn mới.|排斥:bài xích, loại trừ
古书里常用“曰”。|Gǔshū lǐ cháng yòng “yuē”.|Trong sách cổ thường dùng chữ 曰.|曰:nói rằng, văn cổ
“子曰”就是“孔子说”。|“Zǐ yuē” jiù shì “Kǒngzǐ shuō”.|“子曰” nghĩa là “Khổng Tử nói”.|曰:nói rằng
树影在风中摇曳。|Shùyǐng zài fēng zhōng yáoyè.|Bóng cây đung đưa trong gió.|摇曳:lay động nhẹ, văn viết
烛光轻轻摇曳。|Zhúguāng qīngqīng yáoyè.|Ánh nến nhẹ nhàng lay động.|摇曳:lay động
这个月末我回家。|Zhè ge yuèmò wǒ huí jiā.|Cuối tháng này tôi về nhà.|月末:cuối tháng
他姓朱。|Tā xìng Zhū.|Anh ấy họ Chu.|朱:họ Chu
请用朱红色。|Qǐng yòng zhūhóngsè.|Hãy dùng màu đỏ son.|朱红色:màu đỏ son
我知道好歹。|Wǒ zhīdào hǎodǎi.|Tôi biết điều hay lẽ phải.|好歹:điều tốt và xấu, lẽ phải
请不要有歹意。|Qǐng bù yào yǒu dǎiyì.|Xin đừng có ác ý.|歹意:ác ý
请填写姓氏。|Qǐng tiánxiě xìngshì.|Hãy điền họ.|姓氏:họ
你的姓氏很少见。|Nǐ de xìngshì hěn shǎojiàn.|Họ của bạn rất hiếm gặp.|姓氏:họ
猫的爪子很尖。|Māo de zhuǎzi hěn jiān.|Vuốt mèo rất nhọn.|爪子:móng vuốt, 爪 đọc zhuǎ
小狗抬起了爪子。|Xiǎogǒu tái qǐ le zhuǎzi.|Chó con giơ chân lên.|爪子:chân có vuốt
这是一只警犬。|Zhè shì yī zhī jǐngquǎn.|Đây là một con chó nghiệp vụ.|警犬:chó cảnh sát
导盲犬很聪明。|Dǎomángquǎn hěn cōngming.|Chó dẫn đường rất thông minh.|导盲犬:chó dẫn đường cho người khiếm thị
屋顶上有瓦。|Wūdǐng shàng yǒu wǎ.|Trên mái có ngói.|瓦:ngói
这个灯泡是十瓦的。|Zhè ge dēngpào shì shí wǎ de.|Bóng đèn này công suất mười oát.|瓦:oát
我喜欢喝甘蔗汁。|Wǒ xǐhuan hē gānzhe zhī.|Tôi thích uống nước mía.|甘蔗:mía
他不甘心失败。|Tā bù gānxīn shībài.|Anh ấy không cam lòng thất bại.|甘心:cam lòng
我读过杜甫的诗。|Wǒ dú guo Dù Fǔ de shī.|Tôi đã đọc thơ Đỗ Phủ.|杜甫:Đỗ Phủ, tên nhà thơ
杜甫是唐代诗人。|Dù Fǔ shì Tángdài shīrén.|Đỗ Phủ là nhà thơ đời Đường.|杜甫:tên riêng
请看甲组的答案。|Qǐng kàn jiǎ zǔ de dá'àn.|Hãy xem đáp án nhóm A.|甲:loại A, nhóm đầu
我的指甲很短。|Wǒ de zhǐjia hěn duǎn.|Móng tay tôi ngắn.|指甲:móng tay
这些器皿很干净。|Zhèxiē qìmǐn hěn gānjìng.|Những đồ đựng này rất sạch.|器皿:đồ đựng, bát đĩa
请小心玻璃器皿。|Qǐng xiǎoxīn bōli qìmǐn.|Hãy cẩn thận với đồ thủy tinh.|器皿:đồ đựng
我们没有矛盾。|Wǒmen méiyǒu máodùn.|Chúng tôi không có mâu thuẫn.|矛盾:mâu thuẫn
这是古代的长矛。|Zhè shì gǔdài de chángmáo.|Đây là ngọn giáo thời cổ.|长矛:giáo dài
他是大禹。|Tā shì Dà Yǔ.|Đó là Đại Vũ.|大禹:Đại Vũ, nhân vật truyền thuyết
我读过大禹治水的故事。|Wǒ dú guo Dà Yǔ zhì shuǐ de gùshi.|Tôi đã đọc truyện Đại Vũ trị thủy.|大禹:tên riêng
田里长着禾苗。|Tián lǐ zhǎng zhe hémiáo.|Trong ruộng đang mọc những cây lúa non.|禾苗:cây lúa non
雨后禾苗长高了。|Yǔ hòu hémiáo zhǎng gāo le.|Sau mưa, cây lúa non đã cao lên.|禾苗:cây lúa non
我们秉持这个原则。|Wǒmen bǐngchí zhè ge yuánzé.|Chúng tôi giữ vững nguyên tắc này.|秉持:giữ vững, văn viết
请秉公办事。|Qǐng bǐnggōng bànshì.|Hãy giải quyết công việc công bằng.|秉公:theo lẽ công bằng
他是羌族人。|Tā shì Qiāngzú rén.|Anh ấy là người dân tộc Khương.|羌族:dân tộc Khương
我想了解羌族文化。|Wǒ xiǎng liǎojiě Qiāngzú wénhuà.|Tôi muốn tìm hiểu văn hóa dân tộc Khương.|羌族:dân tộc Khương
故事里有一位大臣。|Gùshi lǐ yǒu yī wèi dàchén.|Trong truyện có một vị đại thần.|大臣:đại thần
国王召见了大臣。|Guówáng zhàojiàn le dàchén.|Nhà vua triệu kiến đại thần.|大臣:đại thần
这是一个石臼。|Zhè shì yī ge shíjiù.|Đây là một cái cối đá.|石臼:cối đá
奶奶用石臼捣米。|Nǎinai yòng shíjiù dǎo mǐ.|Bà dùng cối đá giã gạo.|石臼:cối đá
我想学习隶书。|Wǒ xiǎng xuéxí lìshū.|Tôi muốn học lệ thư.|隶书:lệ thư, một kiểu chữ Hán
这个部门隶属于公司。|Zhè ge bùmén lìshǔ yú gōngsī.|Bộ phận này trực thuộc công ty.|隶属:trực thuộc
他姓韦。|Tā xìng Wéi.|Anh ấy họ Vi.|韦:họ Vi
韦老师在教室。|Wéi lǎoshī zài jiàoshì.|Thầy/cô Vi ở trong lớp.|韦:họ Vi
我喜欢吃韭菜。|Wǒ xǐhuan chī jiǔcài.|Tôi thích ăn hẹ.|韭菜:hẹ
这盘饺子是韭菜馅的。|Zhè pán jiǎozi shì jiǔcài xiàn de.|Đĩa sủi cảo này có nhân hẹ.|韭菜:hẹ
我有一本书。|Wǒ yǒu yī běn shū.|Tôi có một quyển sách.|一:một;本:lượng từ cho sách;书:sách
我们一起去。|Wǒmen yīqǐ qù.|Chúng ta cùng đi.|一起:cùng nhau
我有两个孩子。|Wǒ yǒu liǎng ge háizi.|Tôi có hai đứa con.|两:hai;个:lượng từ;孩子:con, trẻ em
今天是二月二日。|Jīntiān shì èr yuè èr rì.|Hôm nay là ngày 2 tháng 2.|二:hai;月:tháng;日:ngày;天:ngày
他二十岁。|Tā èrshí suì.|Anh ấy hai mươi tuổi.|二十:hai mươi
现在十点。|Xiànzài shí diǎn.|Bây giờ là mười giờ.|十:mười
我们七点出门。|Wǒmen qī diǎn chūmén.|Chúng tôi ra khỏi nhà lúc bảy giờ.|七:bảy;出门:ra khỏi nhà;门:cửa
我买了七本书。|Wǒ mǎi le qī běn shū.|Tôi đã mua bảy quyển sách.|七:bảy;了:đánh dấu hành động hoàn tất;本:lượng từ cho sách;书:sách
我八点上班。|Wǒ bā diǎn shàngbān.|Tôi đi làm lúc tám giờ.|八:tám;上班:đi làm
这里有八个人。|Zhèlǐ yǒu bā ge rén.|Ở đây có tám người.|八:tám;个:lượng từ;人:người;里:ở bên trong
现在九点半。|Xiànzài jiǔ diǎn bàn.|Bây giờ là chín giờ rưỡi.|九:chín;半:nửa giờ, rưỡi
他有九块钱。|Tā yǒu jiǔ kuài qián.|Anh ấy có chín tệ.|九:chín
我家有三口人。|Wǒ jiā yǒu sān kǒu rén.|Nhà tôi có ba người.|三:ba;口:lượng từ chỉ người trong gia đình;人:người
我买了三斤米。|Wǒ mǎi le sān jīn mǐ.|Tôi đã mua ba cân gạo (1,5 kg ở Trung Quốc đại lục).|三:ba;斤:cân Trung Quốc;米:gạo
我有五本书。|Wǒ yǒu wǔ běn shū.|Tôi có năm quyển sách.|五:năm;本:lượng từ cho sách
我们五点下班。|Wǒmen wǔ diǎn xiàbān.|Chúng tôi tan làm lúc năm giờ.|五:năm;下班:tan làm
这本书一百元。|Zhè běn shū yī bǎi yuán.|Quyển sách này giá một trăm tệ.|百:trăm;本:lượng từ cho sách
学校有一千人。|Xuéxiào yǒu yī qiān rén.|Trường có một nghìn người.|千:nghìn;人:người
